kind,params,oct_rmsle,nov_rmsle,dec_rmsle,jan_rmsle,mean_rmsle,std_rmsle,worst_rmsle,worst_gap_vs_best_base,selection_score
elastic,"{""alpha"": 0.03, ""l1_ratio"": 0.05, ""recency_factor"": 1.3}",1.711433515718524,1.732382960453203,1.7390050794559146,1.6727304554725044,1.7138880027750365,0.025850044522113674,1.7390050794559146,0.001974050861261789,1.7233303285300288
elastic,"{""alpha"": 0.01, ""l1_ratio"": 0.2, ""recency_factor"": 1.3}",1.7114278621560657,1.7323717702802868,1.7389069379645337,1.6729587895612095,1.713916339990524,0.025733472139323244,1.7389069379645337,0.002202384949966829,1.7233635322292804
elastic,"{""alpha"": 0.1, ""l1_ratio"": 0.05, ""recency_factor"": 1.0}",1.7114903116909799,1.7326655985084267,1.7389697342296409,1.672743889073952,1.7139673833757498,0.02588558075430591,1.7389697342296409,0.0019874844627094657,1.7234248335322988
elastic,"{""alpha"": 0.1, ""l1_ratio"": 0.2, ""recency_factor"": 1.0}",1.7114191296995667,1.7328678171077125,1.7390374573395153,1.6725622278907608,1.7139716580093889,0.026012571135170935,1.7390374573395153,0.0018058232795181706,1.7234372225626025
elastic,"{""alpha"": 0.01, ""l1_ratio"": 0.05, ""recency_factor"": 1.3}",1.7115121782283065,1.7323415050670317,1.7388409502621298,1.6732833306134252,1.7139944910427234,0.025580851822009698,1.7388409502621298,0.002526926002182517,1.7234531743808632
elastic,"{""alpha"": 0.03, ""l1_ratio"": 0.05, ""recency_factor"": 1.5}",1.7114410271904978,1.7323853373586429,1.7393949155718893,1.6727212666308888,1.7139856366879798,0.025949006300210752,1.7393949155718893,0.0019648620196461852,1.7234607612969828
elastic,"{""alpha"": 0.01, ""l1_ratio"": 0.2, ""recency_factor"": 1.5}",1.711436319142263,1.732375735164586,1.7393003068045854,1.6729720325150765,1.7140210984066278,0.02582459081069035,1.7393003068045854,0.0022156279038338944,1.7235028307711362
elastic,"{""alpha"": 0.1, ""l1_ratio"": 0.2, ""recency_factor"": 1.15}",1.7114192167639655,1.7329399950337978,1.739327587362083,1.6723918093116168,1.7140196521178659,0.02616347895021581,1.739327587362083,0.0016354047003741545,1.7235039506905163
positive_linear,"{""recency_factor"": 1.0}",1.7115237649639745,1.7321845236349933,1.7379070369604976,1.6746499335136507,1.714066314768279,0.024782883195373057,1.7379070369604976,0.0038935289024080166,1.7235190296671412
elastic,"{""alpha"": 0.1, ""l1_ratio"": 0.05, ""recency_factor"": 1.15}",1.7114852622574988,1.732703540907229,1.739246400686363,1.6727377490887476,1.7140432382349595,0.02596195759222345,1.739246400686363,0.001981344477504976,1.7235261922877387
