fold,valid_cutoff,epoch,lr,train_loss,train_main_mse,train_rmsle_proxy,rmsle,direct_rmsle,hurdle_rmsle,gate_bce,gate_auc,true_nonzero_rate,pred_nonzero_rate,positive_rmse,hurdle_weight,user_scale
1,2025-11-15,1,0.0003490961127357651,3.4461718084644404,3.1197109483237924,1.766270349726732,1.7358626127243042,1.7403045892715454,1.737034797668457,0.4762486219406128,0.8504077718374625,0.5694354176521301,0.5683038234710693,1.1256855726242065,0.5788626670837402,0.0
1,2025-11-15,2,0.0003463943541210779,3.3323215344442114,3.0286444028071777,1.7403000898716225,1.7343521118164062,1.7388107776641846,1.7358832359313965,0.4778347611427307,0.850988765831376,0.5694354176521301,0.5701470971107483,1.1234835386276245,0.5658451318740845,0.0
1,2025-11-15,3,0.00034192432518870036,3.330744208152365,3.0287007789519826,1.7403162870443931,1.7332942485809326,1.734656572341919,1.7366530895233154,0.4797319173812866,0.850844007935547,0.5694354176521301,0.5811814665794373,1.119740605354309,0.5465608835220337,0.0
1,2025-11-15,4,0.00033573500051102914,3.322559610220378,3.021859545419749,1.738349661437465,1.734344720840454,1.7396899461746216,1.7341471910476685,0.4770302176475525,0.851021209436493,0.5694354176521301,0.5673867464065552,1.1230323314666748,0.5331966280937195,0.0
1,2025-11-15,5,0.00032789419162443243,3.315860542879414,3.016214501340128,1.736725223326974,1.7318177223205566,1.736167550086975,1.733805775642395,0.47690919041633606,0.8513840514529626,0.5694354176521301,0.5640984773635864,1.1161024570465088,0.5255643725395203,0.0
1,2025-11-15,6,0.0003184878040718664,3.3118157287818817,3.0128155542664623,1.7357463968755522,1.734989881515503,1.7406116724014282,1.7337092161178589,0.4751141667366028,0.8517081688116142,0.5694354176521301,0.562543511390686,1.1242378950119019,0.5206050872802734,0.0
1,2025-11-15,7,0.0003076188962037701,3.308418891791509,3.0100097788473725,1.7349379755044192,1.7321751117706299,1.7357122898101807,1.7336989641189575,0.4788203835487366,0.851110020128508,0.5694354176521301,0.5720250010490417,1.1156128644943237,0.5155790448188782,0.0
1,2025-11-15,8,0.00029540655004921165,3.3061194884145197,3.008082382710293,1.7343824211258292,1.7330931425094604,1.7361698150634766,1.735634446144104,0.4801884591579437,0.8514868872321869,0.5694354176521301,0.5931045413017273,1.1159131526947021,0.5126718282699585,0.0
1,2025-11-15,9,0.0002819845666282581,3.3018597821349953,3.0044418543655813,1.7333325861950386,1.7346450090408325,1.7375664710998535,1.7354553937911987,0.47794869542121887,0.8514697894244613,0.5694354176521301,0.5571641325950623,1.1207906007766724,0.5118488669395447,0.0
1,2025-11-15,10,0.0002675,3.2987952103300464,3.0019875499218682,1.7326244688107888,1.7319231033325195,1.736262321472168,1.7323033809661865,0.4754256010055542,0.8517749279453819,0.5694354176521301,0.5691715478897095,1.1168675422668457,0.5145111083984375,0.0
1,2025-11-15,11,0.0002521115461075071,3.2960622421150223,2.9996073207745937,1.731937447130985,1.7313178777694702,1.7339123487472534,1.7328253984451294,0.47706139087677,0.8517896748903432,0.5694354176521301,0.568727970123291,1.1174912452697754,0.5173537731170654,0.0
1,2025-11-15,12,0.00023598780407186638,3.2940018885946487,2.9978934741285457,1.7314425991434268,1.7309473752975464,1.7334506511688232,1.733427882194519,0.47635769844055176,0.8517455082324255,0.5694354176521301,0.5675177574157715,1.113694190979004,0.5193595290184021,0.0
1,2025-11-15,13,0.00021930542898493033,3.29046466830969,2.9949817351624484,1.7306015529758572,1.7317243814468384,1.734602928161621,1.7327831983566284,0.4764799177646637,0.8519411894821048,0.5694354176521301,0.5667398571968079,1.1180238723754883,0.5224750638008118,0.0
