fold,valid_cutoff,source,rows,stored_cv_rmsle,recovered_rmsle,delta
1,2025-11-15,fresh_retrain,244983,1.7319231033325195,1.7324713912090457,0.0005482878765261656
2,2025-12-15,fresh_retrain,250000,1.7376786470413208,1.744644367248958,0.006965720207637194
3,2026-01-14,fresh_retrain,250000,1.677521824836731,1.6741295947634471,-0.0033922300732838195
