epoch,fold_count,mean_rmsle,std_rmsle,worst_rmsle,mean_direct_rmsle,mean_hurdle_rmsle,mean_gate_bce,mean_auc,mean_pos_rmse,mean_lr
10,3,1.7157078584035237,0.033195051446249464,1.7376786470413208,1.7171007792154949,1.7191387017567952,0.4790617823600769,0.8529611279384633,1.1201076904932659,0.0002675
12,3,1.7160032987594604,0.03700533998103351,1.7431997060775757,1.7170769770940144,1.7192410230636597,0.47881844639778137,0.8529277280404518,1.117279012997945,0.00023598780407186638
8,3,1.716115395228068,0.03572785400768832,1.740188717842102,1.7168310085932414,1.7205579280853271,0.4810114999612172,0.8528720678446599,1.1184775431950886,0.00029540655004921165
4,3,1.7162849108378093,0.03371267535635188,1.7371201515197754,1.7190861701965332,1.7192368507385254,0.4797026813030243,0.8524340590721864,1.122454285621643,0.00033573500051102914
11,3,1.716988444328308,0.03300176817989612,1.740403413772583,1.7172746658325195,1.7210140625635784,0.4795469343662262,0.8529971199652967,1.1203200419743855,0.0002521115461075071
7,3,1.7171518802642822,0.03157929413654905,1.7384148836135864,1.7182228962580364,1.72143558661143,0.4806148211161296,0.8526035661373071,1.1208343108495076,0.0003076188962037701
5,3,1.7174094915390015,0.03443227020909387,1.7422971725463867,1.7184005578358967,1.7220431566238403,0.481482595205307,0.8524672987843217,1.1184944709142048,0.00032789419162443243
6,3,1.7178200880686443,0.03574983503440662,1.741745948791504,1.7206340233484905,1.7198772033055623,0.4792722165584564,0.8528183890766909,1.1218738953272502,0.0003184878040718664
2,3,1.717968503634135,0.03689270656792143,1.7438318729400635,1.7194914817810059,1.7217017809549968,0.48084060351053876,0.8520393486015255,1.1232159932454426,0.000346394354121078
9,3,1.7185418208440144,0.037992282468049025,1.7458304166793823,1.7191439867019653,1.7226332823435466,0.4812028805414836,0.8527863267312666,1.1212232907613118,0.0002819845666282581
1,3,1.7199087540308635,0.033241680618615474,1.7421661615371704,1.7214375336964924,1.7223814725875854,0.4798922836780548,0.8516028791611422,1.1253084739049275,0.0003490961127357651
3,3,1.7201485633850098,0.036154188155009793,1.7478907108306885,1.7214593092600505,1.724653919537862,0.48208733399709064,0.852173050363812,1.123159130414327,0.00034192432518870036
