fold,valid_cutoff,epoch,lr,train_loss,train_main_mse,train_rmsle_proxy,rmsle,direct_rmsle,hurdle_rmsle,gate_bce,gate_auc,true_nonzero_rate,pred_nonzero_rate,positive_rmse,hurdle_weight,user_scale
1,2025-11-15,1,0.0001995069705831446,5.211022776941374,4.482834439606372,2.117270516397556,1.7524038553237915,1.7775160074234009,1.7488436698913574,0.493511438369751,0.8466444318921054,0.5694354176521301,0.6252316832542419,1.2278728485107422,0.5974711775779724,0.0
1,2025-11-15,2,0.00019803328406604252,3.462776555702352,3.1297454199429837,1.7691086512543495,1.7385165691375732,1.7433686256408691,1.7375417947769165,0.476417601108551,0.8485731987677163,0.5694354176521301,0.5735949873924255,1.1341335773468018,0.5934547185897827,0.0
1,2025-11-15,3,0.00019559508646656385,3.405874185183776,3.084449300145243,1.7562600320411677,1.7355540990829468,1.7390832901000977,1.7364720106124878,0.47677430510520935,0.8491547914101838,0.5694354176521301,0.5758755207061768,1.1295859813690186,0.589428722858429,0.0
1,2025-11-15,4,0.00019221909118783407,3.3833135257218805,3.066484766603125,1.7511381346436166,1.736515998840332,1.7424989938735962,1.736211895942688,0.4762366712093353,0.8495301380389605,0.5694354176521301,0.5653148889541626,1.128544807434082,0.5858358144760132,0.0
1,2025-11-15,5,0.0001879422863405995,3.368113745430383,3.0543552790627433,1.7476713876077343,1.7338510751724243,1.7390906810760498,1.7341235876083374,0.47620272636413574,0.8499015366726101,0.5694354176521301,0.5774763822555542,1.1250017881393433,0.5824130177497864,0.0
1,2025-11-15,6,0.0001828115294937453,3.3622365353145094,3.0502070782032975,1.746484204968169,1.732445478439331,1.7367777824401855,1.7334262132644653,0.47631481289863586,0.8503048151936162,0.5694354176521301,0.578559398651123,1.1212341785430908,0.5795282125473022,0.0
1,2025-11-15,7,0.0001768830342929655,3.3531834033695147,3.0430605868994696,1.7444370401076301,1.7324739694595337,1.7349718809127808,1.73534095287323,0.4785154461860657,0.8502567416556099,0.5694354176521301,0.5825212001800537,1.119075059890747,0.5770628452301025,0.0
1,2025-11-15,8,0.00017022175457229725,3.345914927633882,3.0372026530766005,1.7427571985439052,1.7325730323791504,1.7380990982055664,1.7327349185943604,0.4754502475261688,0.8507215674525621,0.5694354176521301,0.5782636404037476,1.1209361553192139,0.5747247338294983,0.0
1,2025-11-15,9,0.0001629006727063226,3.3426842874738076,3.034852862693697,1.74208290924792,1.7320729494094849,1.7348344326019287,1.734197974205017,0.47767847776412964,0.8507827488726236,0.5694354176521301,0.5830463171005249,1.1187717914581299,0.5728897452354431,0.0
1,2025-11-15,10,0.000155,3.3391172647312075,3.0319089582632643,1.7412377661489151,1.7336876392364502,1.7398301362991333,1.733797550201416,0.47625234723091125,0.8507654325775441,0.5694354176521301,0.5703306794166565,1.1207059621810913,0.5711233019828796,0.0
