epoch,fold_count,mean_rmsle,std_rmsle,worst_rmsle,mean_direct_rmsle,mean_hurdle_rmsle,mean_gate_bce,mean_auc,mean_pos_rmse,mean_lr
11,3,1.7151127656300862,0.03754516679637842,1.7409645318984985,1.716430425643921,1.7189381122589111,0.4807767669359843,0.8520463236562438,1.1180057525634766,0.00014660629787682203
14,3,1.7163968880971272,0.038315897947022635,1.744120478630066,1.7172751824061077,1.7210890849431355,0.4816220204035441,0.8523153640938433,1.1188076337178547,0.00011940756169408884
12,3,1.7164887984593709,0.03294383702229827,1.7390938997268677,1.7172337373097737,1.7210663557052612,0.48128313819567364,0.8521404947398593,1.1188685496648152,0.0001378115294937453
13,3,1.7166922489802043,0.034363887460122776,1.7404438257217407,1.7173463106155396,1.7213016351064045,0.4816708465417226,0.8522385781788255,1.1194669802983601,0.00012871205217359835
7,3,1.7172987461090088,0.03465368855082139,1.7417761087417603,1.7162610292434692,1.7230409781138103,0.4815658628940582,0.8516008892934391,1.121050198872884,0.0001768830342929655
10,3,1.717400034268697,0.03659807901316277,1.743026852607727,1.7188657919565837,1.7213608821233113,0.48121386766433716,0.8519176703530112,1.1192656358083088,0.000155
17,3,1.7179360787073772,0.034544416507845004,1.742067575454712,1.7190741300582886,1.7223713397979736,0.4815002977848053,0.8523240695003987,1.1210064888000488,9.128794782640167e-05
15,3,1.7181977033615112,0.03494195297247259,1.7432571649551392,1.717916488647461,1.7236338059107463,0.4830824633439382,0.852268326407077,1.1187966267267864,0.00011000000000000003
18,3,1.7183118263880413,0.03682358990608975,1.7461990118026733,1.718529184659322,1.7233107884724934,0.4836779336134593,0.8524465709252143,1.118557612101237,8.218847050625476e-05
9,3,1.7185027996699016,0.03522471999385845,1.7449241876602173,1.7171047925949097,1.7244526147842407,0.48276520768801373,0.8519042220253886,1.1206219991048176,0.0001629006727063226
19,3,1.7186474005381267,0.03184798460407827,1.7418509721755981,1.7184664011001587,1.724225362141927,0.4826372563838959,0.8524626068754042,1.1206233501434326,7.339370212317802e-05
5,3,1.7192203998565674,0.03301547406490327,1.7423924207687378,1.7179419596989949,1.7246598800023396,0.4806705216566722,0.8513316386654122,1.1259462436040242,0.0001879422863405995
6,3,1.7196340560913086,0.03752401702379334,1.7490745782852173,1.7180202404658,1.7255539496739705,0.4823848803838094,0.8516137027084683,1.1226369937260945,0.00018281152949374533
8,3,1.7198888063430786,0.031786435658185314,1.7433747053146362,1.7188145716985066,1.7256690661112468,0.48235011100769043,0.8518416933773326,1.1225472688674927,0.00017022175457229725
16,3,1.7202746868133545,0.03346099567259101,1.7469408512115479,1.719025452931722,1.72664475440979,0.48448580503463745,0.852298103941168,1.119211236635844,0.00010059243830591121
4,3,1.7203470468521118,0.03485578308491231,1.7441819906234741,1.7199392318725586,1.7250256538391113,0.4808514416217804,0.850977354687136,1.128124515215556,0.00019221909118783407
2,3,1.721354564030965,0.0343688041635502,1.743762493133545,1.7209447224934895,1.7241795063018799,0.4797683258851369,0.8497574978237887,1.1360482772191365,0.00019803328406604252
3,3,1.7214264074961345,0.03848396354957233,1.7508498430252075,1.718567967414856,1.7274311780929565,0.48156850536664325,0.8504041397941343,1.1321990489959717,0.00019559508646656385
1,3,1.7306631406148274,0.03649676891592339,1.7524038553237915,1.7390062808990479,1.7339086929957073,0.4915279547373454,0.8483581897094669,1.1917185386021931,0.0001995069705831446
