fold,best_iteration,probability_weight,correction_weight,max_ratio,rmsle,rmsle_baseline,rmsle_candidate,delta,ratio_clipped_share,seconds,rmsle_fixed_config,delta_fixed_config
1,225,1.0,0.2,2.0,1.6783832188301502,1.671905208856573,1.6714894985384268,-0.00041571031814613413,0.03144,6.345177412033081,1.6714894985384268,-0.00041571031814613413
2,300,1.0,0.1,2.0,1.6719007014156353,1.6814102079331563,1.6810343235486,-0.0003758843845562687,0.03208,7.3992815017700195,1.6809271308495866,-0.00048307708356976065
3,325,1.0,0.2,2.0,1.6841500413007107,1.6744820769584272,1.6739839123413436,-0.0004981646170836296,0.03954,8.138427734375,1.6739839123413436,-0.0004981646170836296
4,608,1.0,0.2,2.0,1.6759560693005895,1.6735662056525427,1.6728387216359704,-0.0007274840165722996,0.0284,12.204351663589478,1.6728387216359704,-0.0007274840165722996
5,350,1.0,0.1,2.0,1.6709183853458751,1.6780581648911503,1.677697612511361,-0.0003605523797893806,0.02968,8.38179349899292,1.677635387884844,-0.00042277700630632964
